City,Specie,Count,Pctg,Count_avg,Pctg_avg
Aguascalientes,CO,462,0.7636363636363637,537,0.8876033057851239
Aguascalientes,NO2,472,0.7801652892561983,544,0.8991735537190083
Aguascalientes,O3,369,0.6099173553719008,474,0.7834710743801653
Aguascalientes,PM10,438,0.7239669421487603,522,0.8628099173553719
Aguascalientes,SO2,450,0.743801652892562,516,0.8528925619834711
Chihuahua,CO,382,0.631404958677686,416,0.687603305785124
Chihuahua,NO2,433,0.715702479338843,459,0.7586776859504132
Chihuahua,O3,449,0.7421487603305785,459,0.7586776859504132
Chihuahua,PM10,323,0.5338842975206611,333,0.5504132231404959
Chihuahua,SO2,449,0.7421487603305785,459,0.7586776859504132
Cuernavaca,CO,586,0.968595041322314,602,0.9950413223140496
Cuernavaca,NO2,584,0.9652892561983472,598,0.9884297520661157
Cuernavaca,O3,586,0.968595041322314,602,0.9950413223140496
Cuernavaca,PM10,571,0.943801652892562,592,0.9785123966942149
Cuernavaca,SO2,600,0.9917355371900827,605,1.0
Ecatepec de Morelos,CO,218,0.3603305785123967,252,0.41652892561983473
Ecatepec de Morelos,NO2,223,0.3685950413223141,254,0.41983471074380163
Ecatepec de Morelos,O3,223,0.3685950413223141,254,0.41983471074380163
Ecatepec de Morelos,PM10,,,,
Ecatepec de Morelos,SO2,157,0.25950413223140495,247,0.40826446280991735
Guadalajara,CO,605,1.0,605,1.0
Guadalajara,NO2,605,1.0,605,1.0
Guadalajara,O3,605,1.0,605,1.0
Guadalajara,PM10,605,1.0,605,1.0
Guadalajara,SO2,605,1.0,605,1.0
Mexico City,CO,600,0.9917355371900827,605,1.0
Mexico City,NO2,600,0.9917355371900827,605,1.0
Mexico City,O3,600,0.9917355371900827,605,1.0
Mexico City,PM10,600,0.9917355371900827,605,1.0
Mexico City,SO2,600,0.9917355371900827,605,1.0
Monterrey,CO,585,0.9669421487603306,597,0.9867768595041322
Monterrey,NO2,334,0.5520661157024793,404,0.6677685950413224
Monterrey,O3,338,0.5586776859504132,510,0.8429752066115702
Monterrey,PM10,585,0.9669421487603306,597,0.9867768595041322
Monterrey,SO2,379,0.6264462809917355,452,0.7471074380165289
Morelia,CO,596,0.9851239669421488,605,1.0
Morelia,NO2,601,0.9933884297520661,605,1.0
Morelia,O3,578,0.9553719008264463,603,0.996694214876033
Morelia,PM10,598,0.9884297520661157,605,1.0
Morelia,SO2,587,0.9702479338842975,603,0.996694214876033
Mérida,CO,212,0.3504132231404959,238,0.3933884297520661
Mérida,NO2,151,0.24958677685950414,210,0.34710743801652894
Mérida,O3,496,0.8198347107438017,538,0.8892561983471075
Mérida,PM10,,,,
Mérida,SO2,300,0.49586776859504134,469,0.775206611570248
Oaxaca,CO,527,0.8710743801652893,568,0.9388429752066115
Oaxaca,NO2,561,0.9272727272727272,593,0.9801652892561984
Oaxaca,O3,472,0.7801652892561983,522,0.8628099173553719
Oaxaca,PM10,554,0.915702479338843,593,0.9801652892561984
Oaxaca,SO2,341,0.5636363636363636,381,0.6297520661157024
Pachuca de Soto,CO,563,0.9305785123966942,584,0.9652892561983472
Pachuca de Soto,NO2,596,0.9851239669421488,605,1.0
Pachuca de Soto,O3,598,0.9884297520661157,605,1.0
Pachuca de Soto,PM10,600,0.9917355371900827,605,1.0
Pachuca de Soto,SO2,566,0.9355371900826446,593,0.9801652892561984
Puebla,CO,321,0.5305785123966942,349,0.5768595041322314
Puebla,NO2,273,0.4512396694214876,299,0.49421487603305786
Puebla,O3,324,0.5355371900826447,349,0.5768595041322314
Puebla,PM10,254,0.41983471074380163,288,0.47603305785123967
Puebla,SO2,314,0.5190082644628099,349,0.5768595041322314
San Luis Potosí,CO,491,0.8115702479338843,528,0.8727272727272727
San Luis Potosí,NO2,579,0.9570247933884297,598,0.9884297520661157
San Luis Potosí,O3,479,0.7917355371900826,524,0.8661157024793389
San Luis Potosí,PM10,553,0.9140495867768595,595,0.9834710743801653
San Luis Potosí,SO2,449,0.7421487603305785,559,0.9239669421487603
Tepic,CO,599,0.9900826446280991,605,1.0
Tepic,NO2,588,0.971900826446281,599,0.9900826446280991
Tepic,O3,600,0.9917355371900827,605,1.0
Tepic,PM10,597,0.9867768595041322,605,1.0
Tepic,SO2,566,0.9355371900826446,579,0.9570247933884297
Toluca,CO,600,0.9917355371900827,605,1.0
Toluca,NO2,600,0.9917355371900827,605,1.0
Toluca,O3,600,0.9917355371900827,605,1.0
Toluca,PM10,588,0.971900826446281,605,1.0
Toluca,SO2,600,0.9917355371900827,605,1.0
